Jurisdiction,Cases,Hospitalizations,Deaths
Bear River,61,10,1
Central Utah,23,1,0
Davis County,296,23,2
Salt Lake County,2609,243,30
San Juan,78,10,2
Southeast Utah,11,0,0
Southwest Utah,103,13,2
Summit County,375,33,0
Tooele County,69,6,0
TriCounty,13,1,0
Utah County,1021,51,9
Wasatch County,156,7,1
Weber-Morgan,166,20,2
